ID_Client,ID_Shop,Sex,Marital_Status,Age,FLAG_RESIDENCIAL_PHONE,AREA_CODE_RESIDENCIAL_PHONE,PAYMENT_DAY,SHOP_RANK,RESIDENCE_TYPE,MONTHS_IN_RESIDENCE,FLAG_MOTHERS_NAME,FLAG_FATHERS_NAME,FLAG_RESIDENCE_TOWN_WORKING_TOWN,FLAG_RESIDENCE_STATE_WORKING_STATE,MONTHS_IN_THE_JOB,PROFESSION_CODE,MATE_INCOME,FLAG_RESIDENCIAL_ADDRESS_POSTAL_ADDRESS,PERSONAL_NET_INCOME,QUANT_ADDITIONAL_CARDS_IN_THE_APPLICATION,TARGET_LABEL_BAD
1,22,1,2,44,0,31,12,0,3,12,1,1,0,1,48,731,0.0,1,300.0,0,0
2,15,1,3,18,1,31,20,0,3,216,1,1,1,1,12,853,0.0,1,300.0,0,0
3,24,1,0,22,1,31,8,0,3,48,1,0,1,1,12,40,0.0,1,229.0,0,0
4,12,1,0,47,0,31,25,0,3,180,1,1,0,1,24,35,0.0,1,304.0,0,0
5,16,1,3,28,1,31,25,0,2,12,1,1,1,1,12,24,0.0,1,250.0,0,0
6,24,0,3,26,0,31,28,0,3,180,1,1,0,1,0,999,0.0,1,800.0,0,0
7,55,1,3,22,1,31,12,0,0,0,1,1,1,1,48,999,0.0,1,410.0,0,0
8,6,1,0,21,1,23,28,0,0,24,1,1,1,1,12,40,800.0,1,248.0,0,0
9,3,1,3,27,1,31,20,0,0,0,1,1,1,1,0,950,0.0,1,1000.0,0,1
10,23,1,0,57,1,31,12,0,3,24,1,1,0,1,96,13,0.0,1,856.0,0,0
11,25,1,3,53,1,31,18,0,3,60,1,1,0,1,24,13,0.0,1,738.0,1,1
12,12,1,0,32,1,31,12,0,3,24,1,1,0,1,0,165,0.0,1,700.0,0,0
13,7,0,3,21,1,1,3,0,3,180,1,1,0,0,24,514,0.0,0,347.0,0,0
14,24,0,0,36,1,31,12,0,3,120,1,1,1,1,36,15,0.0,1,1987.0,1,0
15,7,0,3,26,1,27,1,0,3,240,1,1,0,1,12,26,0.0,1,1000.0,0,0
16,19,1,3,49,0,50,20,0,3,120,1,1,0,1,0,703,0.0,1,225.0,0,0
17,96,1,3,18,1,31,20,0,3,216,1,1,1,1,96,60,0.0,1,145.0,0,0
18,55,0,2,44,1,31,8,0,3,72,1,1,1,1,12,135,0.0,1,370.0,0,0
19,55,1,4,46,0,50,12,0,3,360,1,1,0,1,120,704,0.0,1,520.0,0,0
20,24,0,3,20,1,31,28,0,3,24,1,1,1,1,12,999,0.0,1,500.0,0,1
