"Y,X_1,X_2"
"10.0,5.81,0.99"
"10.0,6.32,2.43"
"0.0,0.13,7.22"
"2.8,6.64,8.56"
"0.0,1.78,8.3"
"10.0,9.61,3.97"
"0.0,1.49,6.68"
"6.7,4.15,2.05"
"0.0,0.85,2.93"
"10.0,9.97,8.96"
"10.0,5.02,0.13"
"10.0,5.95,0.86"
"0.0,0.67,2.08"
"10.0,7.5,0.27"
"2.37,2.1,1.81"
"10.0,8.98,5.83"
"0.0,2.05,4.21"
"0.0,1.91,8.93"
"0.0,0.37,8.17"
"5.75,4.72,3.42"
"9.82,5.65,2.59"
"0.0,0.66,3.8"
"8.94,7.76,5.9"
"8.36,4.53,2.68"
"2.44,5.24,6.24"
"4.64,4.41,4.09"
"0.76,4.01,5.52"
"7.02,5.6,4.36"
"1.12,1.55,2.94"
"0.0,1.82,9.48"
"9.47,8.62,7.64"
"10.0,9.46,1.4"
"0.0,3.73,8.68"
"3.52,2.71,4.87"
"2.64,6.44,8.95"
"0.0,4.09,8.0"
"0.0,0.25,4.25"
"4.11,1.56,0.22"
"10.0,7.16,2.69"
"6.83,6.59,5.42"
"0.0,0.27,6.33"
"2.72,2.22,2.58"
"4.08,2.31,1.39"
"4.72,6.72,8.35"
"0.0,0.2,9.84"
"0.0,1.04,5.26"
"10.0,8.0,1.72"
"0.93,1.79,2.72"
"10.0,6.53,0.18"
"0.0,2.38,9.14"
