"time,value"
"1,1.16"
"2,2.53"
"3,1.73"
"4,1.18"
"5,2.47"
"6,3.09"
"7,2.91"
"8,3.34"
"9,2.63"
"10,3.14"
"11,3.09"
"12,3.68"
"13,3.53"
"14,2.93"
"15,5.18"
"16,4.96"
"17,4.11"
"18,6.6"
"19,5.65"
"20,7.05"
"21,8.19"
"22,8.07"
"23,9.58"
"24,7.73"
"25,9.9"
"26,9.38"
"27,9.77"
"28,10.66"
"29,11.55"
"30,12.56"
"31,11.99"
"32,14.74"
"33,15.01"
"34,13.72"
"35,17.49"
"36,18.66"
"37,18.72"
"38,18.16"
"39,18.09"
"40,21.05"
"41,20.46"
"42,22.96"
"43,22.85"
"44,24.54"
"45,24.86"
"46,26.17"
"47,26.45"
"48,29.23"
"49,28.59"
"50,29.9"
